|NDB_No|FdGrp_Cd|Long_Desc|SE
4559|15078|1500|Fish, salmon, chinook, raw (Oncorhynchus tshawytscha (Walbaum))|36.5
4557|15076|1500|Fish, salmon, Atlantic, wild, raw (Salmo salar L.)|36.5
4593|15112|1500|Fish, tilefish, raw (Lopholatilus chamaeleonticeps Goode and Bean)|36.5
4482|15001|1500|Fish, anchovy, european, raw (Engraulis encrasicholus (L.))|36.5
4613|15135|1500|Fish, yellowtail, mixed species, raw (Seriola spp.)|36.5
4486|15005|1500|Fish, bluefish, raw (Pomatomus saltatrix (L.))|36.5
7360|23280|1300|"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled"|36.5
4501|15020|1500|Fish, croaker, Atlantic, raw (Micropogonias undulatus (L.))|36.5
4488|15007|1500|Fish, butterfish, raw (Peprilus triacanthus (Peck))|36.5
4503|15022|1500|Fish, cusk, raw (Brosme brosme (Muller))|36.5
4612|15134|1500|Fish, wolffish, Atlantic, raw (Anarhichas lupus (L.))|36.5
4504|15023|1500|Fish, mahimahi, raw (Coryphaena hippurus (L.))|36.5
3841|13384|1300|"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised"|36.5
8293|35011|3500|Whale, beluga, meat, raw (Alaska Native) (Delphinapterus leucas)|36.5
4607|15129|1500|Fish, turbot, european, raw (Scophthalmus maximus (L.))|36.5
5872|18400|1800|Crackers, matzo, egg and onion|36.5
4512|15031|1500|Fish, grouper, mixed species, raw (Epinephelus spp.)|36.5
4602|15123|1500|Fish, tuna, fresh, skipjack, raw (Euthynnus pelamis (L.))|36.5
8178|28377|1800|PEPPERIDGE FARM, 100% Whole Wheat Hamburger Buns|36.4
1111|5654|500|Ostrich, tenderloin, raw (Struthio camelus)|36.4
1101|5644|500|Ostrich, inside leg, raw (Struthio camelus)|36.4
7159|23069|1300|"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised"|36.4
2508|10030|1000|Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled|36.4
4614|15136|1500|Crustaceans, crab, alaska king, raw (Paralithodes camtschatica (Tilesius))|36.4
7651|23608|1300|"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|36.4
126|1138|100|Egg, duck, whole, fresh, raw|36.4
452|3193|300|Babyfood, cereal, oatmeal, with honey, dry|36.4
6575|20125|2000|Pasta, whole-wheat, cooked|36.3
2560|10082|1000|Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled|36.3
7323|23243|1300|"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled"|36.3
8698|43297|1000|Pork, oriental style, dehydrated|36.3
1095|5630|500|Emu, outside drum, raw (Dromaius novaehollandiae)|36.3
7738|25046|2500|Snacks, bagel chips, plain|36.2
5864|18383|1800|Bread, protein, (includes gluten), toasted|36.2
1000|5180|500|Turkey from whole, neck, meat only, cooked, simmered|36.2
7354|23274|1300|"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled"|36.2
2629|10180|1000|Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, pan-fried|36.1
2565|10087|1000|Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted|36.1
2502|10024|1000|Pork, fresh, loin, whole, separable lean only, raw|36.1
7187|23097|1300|"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised"|36.1
3787|13326|1300|Beef, variety meats and by-products, liver, cooked, braised|36.1
1124|5669|500|Ground turkey, 85% lean, 15% fat, pan-broiled crumbles|36.1
2518|10040|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw|36.0
2736|10908|1000|Pork, cured, ham and water product, rump, bone-in, separable lean and fat, unheated|36.0
4118|13981|1300|"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised"|36.0
6919|21428|2100|KFC, Fried Chicken, ORIGINAL RECIPE, Wing, meat only, skin and breading removed|36.0
7262|23172|1300|"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled"|36.0
7260|23170|1300|"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"|36.0
2732|10904|1000|Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated|36.0
2604|10140|1000|Pork, cured, ham, regular (approximately 13% fat), canned, roasted|35.9
7309|23229|1300|"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled"|35.8
3897|13454|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled"|35.8
218|1260|100|Cheese, cheddar, reduced fat|35.8
4647|15170|1500|Mollusks, oyster, eastern, canned|35.8
1110|5653|500|Ostrich, round, raw (Struthio camelus)|35.8
5589|18036|1800|Bread, multi-grain, toasted (includes whole-grain)|35.8
2547|10069|1000|Pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted|35.8
7188|23098|1300|"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"|35.7
1670|7062|700|Picnic loaf, pork, beef|35.7
7258|23168|1300|"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"|35.7
2739|10911|1000|Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, unheated|35.7
3864|13414|1300|"Beef, round, bottom round roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted"|35.7
7633|23590|1300|"Beef, round, bottom round , roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted"|35.6
7190|23100|1300|"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled"|35.6
7355|23275|1300|"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted"|35.6
7358|23278|1300|"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled"|35.6
7264|23174|1300|"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"|35.6
7249|23159|1300|"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted"|35.5
2689|10859|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled|35.5
5255|17157|1700|Game meat, bison, separable lean only, cooked, roasted (Bison bison)|35.5
3697|12169|1200|Seeds, sesame butter, paste|35.5
2522|10044|1000|Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean and fat, raw|35.5
3775|13285|1300|"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"|35.5
4567|15086|1500|Fish, salmon, sockeye, cooked, dry heat|35.5
7645|23602|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"|35.4
2667|10220|1000|Pork, fresh, ground, cooked|35.4
2488|10010|1000|Pork, fresh, leg (ham), whole, separable lean only, raw|35.4
4659|15182|1500|Fish, salmon, sockeye, canned, without salt, drained solids with bone|35.4
2678|10803|1000|USDA Commodity, pork, ground, fine/coarse, frozen, cooked|35.4
1079|5357|500|Chicken, broiler, rotisserie, BBQ, back meat and skin|35.4
1114|5657|500|Ostrich, top loin, raw (Struthio camelus)|35.4
2646|10199|1000|Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean only, raw|35.4
995|5175|500|Turkey, heart, all classes, raw|35.4
2716|10886|1000|Pork, cured, ham -- water added, slice, bone-in, separable lean only, unheated|35.3
7321|23241|1300|"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled"|35.3
5108|17010|1700|"Lamb, domestic, foreshank, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised"|35.3
7186|23096|1300|"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised"|35.3
7182|23092|1300|Beef, chuck for stew, separable lean and fat, choice, cooked, braised|35.3
5434|17337|1700|"Game meat, bison, top round, separable lean only, 1"" steak, raw (Bison bison)"|35.3
6933|21442|2100|POPEYES, Fried Chicken, Mild, Breast, meat only, skin and breading removed|35.2
1112|5655|500|Ostrich, tip trimmed, raw (Struthio camelus)|35.2
2770|10944|1000|Pork, fresh, enhanced, loin, tenderloin, separable lean only, raw|35.2
7302|23222|1300|"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"|35.2
2710|10880|1000|Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated|35.1
7161|23071|1300|"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"|35.1
1669|7061|700|Mother's loaf, pork|35.1
2505|10027|1000|Pork, fresh, loin, whole, separable lean only, cooked, roasted|35.1
3898|13455|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled"|35.1
1125|5670|500|Ground turkey, 85% lean, 15% fat, patties, broiled|35.1
7303|23223|1300|"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled"|35.1
7319|23239|1300|"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"|35.0
7256|23166|1300|"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled"|35.0
7359|23279|1300|"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled"|35.0
2034|8598|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, HONEY CLUSTERS|35.0
2543|10065|1000|Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted|34.9
1100|5643|500|Ostrich, fan, raw (Struthio camelus)|34.9
6753|21225|2100|Pizza, cheese topping, rising crust, frozen, cooked|34.8
1073|5349|500|Chicken, broilers or fryers, drumstick, meat and skin, cooked, rotisserie, original seasoning|34.8
3840|13383|1300|"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised"|34.8
7339|23259|1300|"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted"|34.8
7250|23160|1300|"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted"|34.8
2654|10207|1000|Pork, fresh, loin, country-style ribs, separable lean only, raw|34.8
2791|10973|1000|Pork, ground, 96% lean / 4% fat, raw|34.8
5726|18220|1800|Crackers, melba toast, plain|34.8
7322|23242|1300|"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"|34.8
7301|23221|1300|"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"|34.8
7692|23655|1300|"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled"|34.7
7657|23614|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised"|34.7
2777|10951|1000|Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw|34.7
2737|10909|1000|Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated|34.6
7331|23251|1300|"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted"|34.6
4622|15144|1500|Crustaceans, crab, queen, raw (Chionoectes opilio (O. Fabricius))|34.6
4732|15264|1500|Salmon, sockeye, canned, drained solids, without skin and bones|34.6
7368|23288|1300|"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"|34.6
1646|7032|700|Ham and cheese loaf or roll|34.6
7180|23090|1300|Beef, chuck for stew, separable lean and fat, all grades, cooked, braised|34.6
4539|15058|1500|Fish, ocean perch, Atlantic, cooked, dry heat|34.6
6934|21443|2100|POPEYES, Fried Chicken, Mild, Drumstick, meat only, skin and breading removed|34.6
2653|10206|1000|Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted|34.5
2714|10884|1000|Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated|34.5
4041|13890|1300|"Beef, round, top round, separable lean only, trimmed to 1/8"" fat, choice, cooked, pan-fried"|34.5
2544|10066|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw|34.5
7352|23272|1300|"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"|34.5
7340|23260|1300|"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted"|34.5
7337|23257|1300|"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"|34.5
3855|13401|1300|"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised"|34.5
31|1032|100|Cheese, parmesan, grated|34.4
7681|23638|1300|"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|34.4
4023|13872|1300|"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"|34.4
3621|12029|1200|Seeds, sesame seed kernels, toasted, without salt added (decorticated)|34.4
3620|12024|1200|Seeds, sesame seeds, whole, roasted and toasted|34.4
6544|20082|2000|Wheat flour, white, all-purpose, self-rising, enriched|34.4
3717|12529|1200|Seeds, sesame seed kernels, toasted, with salt added (decorticated)|34.4
3619|12023|1200|Seeds, sesame seeds, whole, dried (Sesamum indicum)|34.4
3709|12201|1200|Seeds, sesame seed kernels, dried (decorticated)|34.4
3695|12166|1200|Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)|34.4
3739|12698|1200|Seeds, sesame butter, tahini, type of kernels unspecified|34.4
3876|13426|1300|"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted"|34.4
2728|10900|1000|Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated|34.4
7296|23216|1300|"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled"|34.3
129|1141|100|Egg, turkey, whole, fresh, raw|34.3
5308|17210|1700|Lamb, variety meats and by-products, pancreas, raw|34.3
7367|23287|1300|"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"|34.3
3850|13394|1300|"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, all grades, cooked, broiled"|34.3
2561|10083|1000|Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, roasted|34.3
7365|23285|1300|"Beef, top loin filet, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled"|34.3
4568|15087|1500|Fish, salmon, sockeye, canned, drained solids|34.3
7160|23070|1300|"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised"|34.3
7653|23610|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|34.3
7328|23248|1300|"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"|34.3
1052|5320|500|Chicken, wing, frozen, glazed, barbecue flavored, heated (conventional oven)|34.2
4720|15243|1500|Crustaceans, crayfish, mixed species, farmed, cooked, moist heat|34.2
3853|13398|1300|"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised"|34.2
6936|21445|2100|POPEYES, Fried Chicken, Mild, Thigh, meat only, skin and breading removed|34.2
5567|18007|1800|Bagels, oat bran|34.2
6585|20136|2000|Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked|34.2
2709|10879|1000|Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted|34.2
7330|23250|1300|"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted"|34.2
6945|21464|2100|Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed|34.1
7672|23629|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|34.1
7686|23649|1300|"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted"|34.1
5609|18061|1800|Bread, rye, toasted|34.0
6581|20132|2000|Oat flour, partially debranned|34.0
4577|15096|1500|Fish, shark, mixed species, cooked, batter-dipped and fried|34.0
7252|23162|1300|"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"|34.0
3829|13370|1300|"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"|34.0
7638|23595|1300|"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"|34.0
7327|23247|1300|"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled"|33.9
7364|23284|1300|"Beef, top loin filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled"|33.9
6621|20481|2000|Wheat flour, white, all-purpose, unenriched|33.9
3740|12737|1200|Nuts, mixed nuts, oil roasted, with peanuts, lightly salted|33.9
3676|12137|1200|Nuts, mixed nuts, oil roasted, with peanuts, without salt added|33.9
3731|12637|1200|Nuts, mixed nuts, oil roasted, with peanuts, with salt added|33.9
7649|23606|1300|"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|33.9
6627|20581|2000|Wheat flour, white, all-purpose, enriched, unbleached|33.9
4119|13982|1300|"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"|33.9
6543|20081|2000|Wheat flour, white, all-purpose, enriched, bleached|33.9
5341|17243|1700|"Lamb, domestic, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"|33.8
2514|10036|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw|33.8
7369|23289|1300|"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"|33.8
191|1224|100|Protein supplement, milk based, Muscle Milk Light, powder|33.8
1108|5651|500|Ostrich, oyster, raw (Struthio camelus)|33.8
190|1223|100|Protein supplement, milk based, Muscle Milk, powder|33.8
2745|10917|1000|Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted|33.8
3857|13404|1300|"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, braised"|33.8
1016|5200|500|Turkey, fryer-roasters, meat and skin, cooked, roasted|33.8
1138|5683|500|Chicken, dark meat, thigh, meat only, with added solution, cooked, roasted|33.7
1901|8243|800|Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CLUSTERS|33.7
5894|18428|1800|Crackers, wheat, low salt|33.7
7643|23600|1300|"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|33.7
7254|23164|1300|"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"|33.7
2799|10981|1000|Pork loin, fresh, backribs, bone-in, cooked-roasted, lean only|33.7
7332|23252|1300|"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted"|33.7
2785|10959|1000|Pork, Shoulder breast, boneless, separable lean and fat, cooked, broiled|33.7
7663|23620|1300|"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted"|33.7
8104|28302|1800|Cookies, graham crackers, plain or honey, lowfat|33.7
1680|7072|700|Salami, dry or hard, pork, beef|33.6
1647|7033|700|Ham and cheese spread|33.6
7570|23498|1300|"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, select, cooked"|33.6
3759|13098|1300|"Beef, rib, eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, cooked, broiled"|33.6
2618|10168|1000|Pork, cured, shoulder, arm picnic, separable lean and fat, roasted|33.6
7356|23276|1300|"Beef, ribeye petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"|33.6
2554|10076|1000|Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, roasted|33.6
1099|5642|500|Ostrich, ground, cooked, pan-broiled (Struthio camelus)|33.5
5349|17251|1700|"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"|33.5
294|2046|200|Mustard, prepared, yellow|33.5
2480|10002|1000|Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw|33.5
4020|13869|1300|"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"|33.5
8395|35167|3500|Fish, salmon, red, (sockeye), kippered (Alaska Native)|33.5
2642|10195|1000|Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised|33.4
5611|18065|1800|Bread, wheat, toasted|33.4
2501|10023|1000|Pork, fresh, loin, whole, separable lean and fat, cooked, roasted|33.4
7673|23630|1300|"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|33.4
2549|10071|1000|Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted|33.4
7366|23286|1300|"Beef, top loin filet, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled"|33.4
4117|13980|1300|"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised"|33.3
7294|23214|1300|"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"|33.3
7329|23249|1300|"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled"|33.3
5566|18006|1800|Bagels, cinnamon-raisin, toasted|33.3
6954|21473|2100|DIGIORNO Pizza, cheese topping, cheese stuffed crust, frozen, baked|33.3
7139|23049|1300|"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, raw"|33.3
7641|23598|1300|"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted"|33.3
7353|23273|1300|"Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"|33.3
7143|23053|1300|"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, all grades, raw"|33.3
2798|10980|1000|Pork loin, fresh, backribs, bone-in, raw, lean only|33.3
5291|17193|1700|Veal, variety meats and by-products, heart, raw|33.3
4565|15084|1500|Fish, salmon, pink, canned, total can contents|33.2
7286|23196|1300|"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled"|33.2
4658|15181|1500|Fish, salmon, pink, canned, without salt, solids with bone and liquid|33.2
2498|10020|1000|Pork, fresh, loin, whole, separable lean and fat, raw|33.2
1044|5312|500|Chicken, wing, frozen, glazed, barbecue flavored|33.2
7336|23256|1300|"Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"|33.2
7562|23484|1300|"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, cooked"|33.2
3825|13366|1300|"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, select, cooked"|33.1
5150|17052|1700|"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised"|33.1
8251|32018|2200|Spanish rice mix, dry mix, unprepared|33.1
7756|25070|2500|Snacks, shrimp cracker|33.1
7731|25037|2500|Snacks, pita chips, salted|33.1
4496|15015|1500|Fish, cod, Atlantic, raw (Gadus morhua (L.))|33.1
7565|23491|1300|"Beef composite, separable lean only, trimmed to 1/8"" fat, choice, cooked"|33.1
6916|21425|2100|KFC, Fried Chicken, ORIGINAL RECIPE, Breast, meat only, skin and breading removed|33.1
116|1128|100|Egg, whole, cooked, fried|33.1
2540|10062|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw|33.1
7238|23148|1300|"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"|33.0
1098|5641|500|Ostrich, ground, raw (Struthio camelus)|33.0
7671|23628|1300|"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|33.0
5834|18347|1800|Rolls, dinner, wheat|33.0
7266|23176|1300|"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"|33.0
5134|17036|1700|"Lamb, domestic, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised"|33.0
3880|13436|1300|"Beef, round, top round, separable lean only, trimmed to 0"" fat, choice, cooked, braised"|33.0
5591|18038|1800|Bread, oat bran, toasted|33.0
3834|13377|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, choice, cooked, braised"|33.0
3881|13438|1300|"Beef, round, top round, separable lean only, trimmed to 0"" fat, select, cooked, braised"|33.0
2587|10114|1000|Pork, fresh, variety meats and by-products, mechanically separated, raw|32.9
7658|23615|1300|"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised"|32.9
5584|18028|1800|Bread, egg, toasted|32.9
5596|18043|1800|Bread, protein (includes gluten)|32.9
8198|28397|1800|Bread, multi-grain (includes whole-grain)|32.9
7295|23215|1300|"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"|32.9
8115|28313|1800|Rolls, hamburger or hot dog, whole wheat|32.9
7109|22998|2200|Rice and vermicelli mix, chicken flavor, unprepared|32.9
3807|13347|1300|Beef, cured, corned beef, brisket, cooked|32.8
7166|23076|1300|"Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled"|32.8
5125|17027|1700|"Lamb, domestic, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled"|32.8
3788|13327|1300|Beef, variety meats and by-products, liver, cooked, pan-fried|32.8
2590|10117|1000|Pork, fresh, variety meats and by-products, spleen, raw|32.8
2713|10883|1000|Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted|32.7
7208|23118|1300|"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised"|32.7
2756|10928|1000|Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted|32.7
3879|13432|1300|"Beef, round, top round, separable lean and fat, trimmed to 0"" fat, select, cooked, braised"|32.7
6641|20647|2000|Millet flour|32.7
3878|13430|1300|"Beef, round, top round, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised"|32.7
3877|13428|1300|"Beef, round, top round, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised"|32.7
4089|13943|1300|"Beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"|32.6
2749|10921|1000|Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil|32.6
2700|10870|1000|Pork, cured, ham and water product, slice, boneless, separable lean only, heated, pan-broil|32.6
8447|35237|3500|Tamales, masa and pork filling (Hopi)|32.6
4026|13875|1300|"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised"|32.6
4510|15029|1500|Fish, flatfish (flounder and sole species), cooked, dry heat|32.6
8119|28317|1800|Bread, wheat, sprouted, toasted|32.6
4046|13895|1300|"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"|32.5
